,state,account length,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,average_hourly_night_rate,average_hourly_day_rate,average_hourly_intl_rate,average_hourly_eve_rate,total_minutes,state,international plan,voice mail plan,churn
228,VA,104,no,yes,23,280.2,136,47.63,220.5,92,18.74,136.9,102,6.16,13.3,3,3.59,4,22.224025974025974,5.882846945202603,3.7047353760445687,11.766275346851655,650.9000000000001,VA,no,yes,False
367,MD,45,no,no,0,78.2,127,13.29,253.4,108,21.54,255.0,100,11.48,18.0,3,4.86,1,22.212543554006967,5.884123401053424,3.7037037037037033,11.764159702878366,604.6,MD,no,no,False
872,OK,149,no,yes,43,206.7,79,35.14,174.6,122,14.84,241.5,80,10.87,10.9,3,2.94,1,22.21711131554738,5.882185543540125,3.7074829931972793,11.765498652291106,633.6999999999999,OK,no,yes,False
1266,IA,42,no,no,0,155.4,127,26.42,164.1,45,13.95,157.7,128,7.1,9.0,3,2.43,0,22.211267605633804,5.881907645722937,3.7037037037037033,11.763440860215054,486.20000000000005,IA,no,no,False
277,SD,144,no,yes,48,189.8,96,32.27,123.4,67,10.49,214.2,106,9.64,6.5,2,1.76,2,22.219917012448132,5.881623799194298,3.6931818181818183,11.763584366062917,533.9,SD,no,yes,True
2214,CT,90,no,no,0,175.9,111,29.9,285.2,115,24.24,150.8,122,6.79,13.0,7,3.51,1,22.20913107511046,5.882943143812709,3.7037037037037037,11.765676567656765,624.9000000000001,CT,no,no,False
943,OR,132,no,no,0,191.9,107,32.62,206.9,127,17.59,272.0,88,12.24,12.6,2,3.4,1,22.22222222222222,5.882893930104231,3.7058823529411766,11.762364980102332,683.4,OR,no,no,False
885,ME,66,no,yes,26,254.9,108,43.33,243.2,135,20.67,190.8,95,8.59,5.4,3,1.46,2,22.21187427240978,5.882760212324025,3.6986301369863015,11.765844218674406,694.3,ME,no,yes,False
1303,VA,10,no,no,0,222.2,127,37.77,153.1,125,13.01,227.4,80,10.23,12.9,4,3.48,1,22.22873900293255,5.882975906804341,3.706896551724138,11.767870868562644,615.6,VA,no,no,False
951,VT,101,no,no,0,153.8,89,26.15,234.0,89,19.89,196.3,77,8.83,11.6,2,3.13,4,22.231030577576444,5.881453154875718,3.7060702875399363,11.76470588235294,595.7,VT,no,no,False
409,TX,145,no,no,0,187.9,110,31.94,197.0,117,16.75,167.0,108,7.52,4.8,4,1.3,2,22.20744680851064,5.882905447714465,3.692307692307692,11.761194029850746,556.7,TX,no,no,False
2551,MD,102,no,no,0,129.5,56,22.02,354.2,118,30.11,145.5,93,6.55,10.9,3,2.94,1,22.213740458015266,5.881017257039056,3.7074829931972793,11.763533709730986,640.0999999999999,MD,no,no,False
1142,UT,105,no,no,0,106.4,71,18.09,240.1,83,20.41,147.7,114,6.65,5.3,4,1.43,6,22.210526315789473,5.881702598120509,3.7062937062937062,11.763841254287113,499.5,UT,no,no,True
2594,OH,115,yes,no,0,345.3,81,58.7,203.4,106,17.29,217.5,107,9.79,11.8,8,3.19,1,22.216547497446374,5.882453151618399,3.699059561128527,11.764025448235975,777.9999999999999,OH,yes,no,True
2222,AK,97,no,yes,24,176.1,109,29.94,159.4,81,13.55,269.1,94,12.11,12.1,9,3.27,0,22.221304706853843,5.881763527054108,3.7003058103975532,11.763837638376383,616.7,AK,no,yes,False
1844,SC,77,no,yes,28,135.9,117,23.1,244.5,102,20.78,207.5,74,9.34,11.5,3,3.11,4,22.216274089935762,5.883116883116883,3.6977491961414795,11.766121270452357,599.4,SC,no,yes,True
2670,WY,116,no,yes,12,221.0,108,37.57,151.0,118,12.84,179.0,80,8.06,9.0,6,2.43,2,22.208436724565754,5.88235294117647,3.7037037037037033,11.7601246105919,560.0,WY,no,yes,False
1051,NC,103,no,no,0,263.4,118,44.78,179.1,69,15.22,214.7,112,9.66,10.3,2,2.78,0,22.22567287784679,5.882090218847699,3.705035971223022,11.767411300919841,667.5,NC,no,no,False
849,IL,129,no,no,0,198.4,91,33.73,264.7,106,22.5,111.4,101,5.01,9.2,2,2.48,2,22.23552894211577,5.882004150607768,3.7096774193548385,11.764444444444443,583.7,IL,no,no,False
7,MO,147,yes,no,0,157.0,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,0,22.224554039874086,5.88235294117647,3.6979166666666665,11.769406392694064,479.0,MO,yes,no,False
968,NM,122,no,yes,33,174.9,103,29.73,248.2,105,21.1,164.6,116,7.41,13.5,3,3.65,1,22.213225371120107,5.882946518668012,3.6986301369863015,11.76303317535545,601.2,NM,no,yes,True
2054,NH,90,no,no,0,140.2,97,23.83,213.9,102,18.18,120.0,126,5.4,7.1,2,1.92,1,22.22222222222222,5.883340327318506,3.6979166666666665,11.765676567656767,481.20000000000005,NH,no,no,False
1071,PA,134,no,no,0,205.3,122,34.9,240.5,155,20.44,179.1,107,8.06,5.0,9,1.35,1,22.220843672456574,5.882521489971348,3.7037037037037033,11.766144814090019,629.9,PA,no,no,False
417,AZ,117,no,no,0,239.9,84,40.78,174.8,106,14.86,209.5,93,9.43,9.8,2,2.65,0,22.216330858960763,5.882785679254536,3.6981132075471703,11.763122476446839,634.0,AZ,no,no,False
3216,SD,221,no,yes,24,180.5,85,30.69,224.1,92,19.05,205.7,103,9.26,2.4,3,0.65,0,22.213822894168466,5.88139459107201,3.692307692307692,11.763779527559054,612.6999999999999,SD,no,yes,False
2497,MN,79,no,yes,32,50.6,62,8.6,201.4,87,17.12,146.8,121,6.61,4.2,4,1.13,2,22.20877458396369,5.883720930232559,3.716814159292036,11.764018691588785,403.0,MN,no,yes,False
918,PA,52,no,no,0,215.9,67,36.7,217.0,108,18.45,342.8,130,15.43,5.2,2,1.4,1,22.216461438755672,5.882833787465939,3.714285714285715,11.761517615176151,780.9000000000001,PA,no,no,False
2755,SC,107,no,no,0,206.9,79,35.17,262.4,117,22.3,149.3,69,6.72,10.7,3,2.89,0,22.21726190476191,5.882854705715098,3.702422145328719,11.766816143497756,629.3,SC,no,no,False
3104,WI,63,no,yes,13,214.2,61,36.41,181.2,88,15.4,174.0,68,7.83,10.3,2,2.78,0,22.22222222222222,5.882999176050536,3.705035971223022,11.766233766233766,579.7,WI,no,yes,False
1029,MN,116,no,no,0,201.8,82,34.31,231.5,95,19.68,226.1,130,10.17,16.5,5,4.46,0,22.23205506391347,5.8816671524336925,3.6995515695067267,11.763211382113822,675.9,MN,no,no,False
200,MN,53,no,yes,24,145.7,146,24.77,220.5,136,18.74,249.9,96,11.25,13.1,5,3.54,3,22.213333333333335,5.882115462252725,3.700564971751412,11.766275346851655,629.2,MN,no,yes,False
3036,TX,112,no,no,0,214.8,112,36.52,209.7,104,17.82,164.4,97,7.4,9.4,5,2.54,3,22.216216216216218,5.88170865279299,3.7007874015748032,11.767676767676766,598.3,TX,no,no,False
1124,NY,167,no,no,0,166.4,85,28.29,243.2,135,20.67,229.2,95,10.31,9.9,5,2.67,1,22.230843840931133,5.881937080240368,3.707865168539326,11.765844218674406,648.7,NY,no,no,False
806,WV,137,no,no,0,174.4,120,29.65,156.3,98,13.29,136.5,121,6.14,10.2,5,2.75,0,22.23127035830619,5.88195615514334,3.709090909090909,11.760722347629798,477.4,WV,no,no,False
3163,NC,122,no,yes,30,230.1,108,39.12,287.6,76,24.45,177.1,85,7.97,6.9,3,1.86,2,22.22082810539523,5.881901840490798,3.7096774193548385,11.76278118609407,701.7,NC,no,yes,False
1229,OR,177,no,no,0,84.9,77,14.43,257.5,109,21.89,210.5,66,9.47,7.5,5,2.03,2,22.22808870116156,5.883575883575884,3.6945812807881775,11.763362265874829,560.4,OR,no,no,False
284,DE,71,no,no,0,197.9,108,33.64,181.5,109,15.43,281.4,56,12.66,6.7,5,1.81,3,22.227488151658765,5.882877526753864,3.701657458563536,11.762799740764745,667.5,DE,no,no,False
1821,OH,123,no,yes,39,270.4,99,45.97,245.1,110,20.83,108.9,113,4.9,15.4,7,4.16,1,22.224489795918366,5.882097019795519,3.701923076923077,11.766682669227077,639.8,OH,no,yes,False
232,OK,100,no,no,0,203.1,96,34.53,217.0,126,18.45,180.9,122,8.14,13.5,2,3.65,3,22.223587223587224,5.881841876629018,3.6986301369863015,11.761517615176151,614.5,OK,no,no,False
2623,UT,134,no,no,0,258.8,85,44.0,129.5,114,11.01,193.6,106,8.71,10.9,7,2.94,2,22.227324913892076,5.881818181818182,3.7074829931972793,11.762034514078112,592.8,UT,no,no,False
1543,AR,57,no,no,0,192.8,68,32.78,158.0,86,13.43,235.5,105,10.6,12.7,6,3.43,1,22.21698113207547,5.88163514338011,3.702623906705539,11.764705882352942,599.0,AR,no,no,False
3226,ME,100,no,no,0,264.5,117,44.97,194.0,111,16.49,262.7,111,11.82,7.5,4,2.03,2,22.22504230118443,5.881698910384701,3.6945812807881775,11.764705882352942,728.7,ME,no,no,True
96,MT,73,no,no,0,160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13.0,4,3.51,0,22.23499361430396,5.8817046289493025,3.7037037037037037,11.76503033645891,560.5,MT,no,no,False
2071,AK,132,no,no,0,181.1,121,30.79,314.4,109,26.72,246.7,81,11.1,4.2,9,1.13,2,22.225225225225223,5.881779798635921,3.716814159292036,11.766467065868262,746.3999999999999,AK,no,no,False
2851,NH,95,no,no,0,142.5,109,24.23,176.1,107,14.97,189.6,88,8.53,8.2,3,2.21,2,22.227432590855805,5.881139083780437,3.710407239819004,11.763527054108216,516.4,NH,no,no,False
2653,OK,155,no,yes,30,61.6,103,10.47,255.1,110,21.68,225.9,96,10.17,12.4,5,3.35,1,22.212389380530976,5.8834765998089775,3.701492537313433,11.76660516605166,555.0,OK,no,yes,False
1344,MA,111,no,no,0,284.4,89,48.35,157.0,113,13.35,242.8,91,10.93,8.4,8,2.27,0,22.21408966148216,5.8821096173733185,3.7004405286343616,11.760299625468166,692.6,MA,no,no,True
1366,NY,89,no,no,0,89.5,66,15.22,179.3,104,15.24,225.1,116,10.13,12.3,1,3.32,3,22.221125370187558,5.88042049934297,3.704819277108434,11.76509186351706,506.20000000000005,NY,no,no,False
3097,ME,112,no,no,0,185.4,114,31.52,191.4,119,16.27,144.0,78,6.48,10.0,11,2.7,2,22.22222222222222,5.881979695431473,3.7037037037037033,11.763982790411802,530.8,ME,no,no,False
3177,NM,84,no,yes,41,153.9,102,26.16,140.7,117,11.96,217.7,101,9.8,12.8,5,3.46,1,22.21428571428571,5.88302752293578,3.6994219653179194,11.76421404682274,525.1,NM,no,yes,False
2870,TX,121,no,no,0,86.1,100,14.64,259.8,113,22.08,148.0,79,6.66,9.1,9,2.46,2,22.22222222222222,5.881147540983606,3.6991869918699187,11.766304347826088,503.0,TX,no,no,False
1730,NM,161,no,no,0,107.5,121,18.28,256.4,46,21.79,247.2,131,11.12,12.6,3,3.4,2,22.23021582733813,5.880743982494529,3.7058823529411766,11.766865534648922,623.7,NM,no,no,False
2766,VA,146,yes,no,0,111.1,126,18.89,313.4,95,26.64,215.7,82,9.71,10.5,6,2.84,1,22.21421215242018,5.881418740074113,3.6971830985915495,11.764264264264263,650.6999999999999,VA,yes,no,False
104,IN,122,no,no,0,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05,1,22.216264521894548,5.881338392549155,3.704918032786886,11.768292682926829,604.1,IN,no,no,False
2480,DE,105,yes,no,0,150.0,106,25.5,293.8,123,24.97,250.7,65,11.28,10.3,7,2.78,3,22.22517730496454,5.882352941176471,3.705035971223022,11.766119343211855,704.8,DE,yes,no,False
3240,SD,34,no,no,0,180.6,65,30.7,280.4,99,23.83,292.4,105,13.16,5.0,3,1.35,1,22.21884498480243,5.8827361563517915,3.7037037037037033,11.766680654637012,758.4,SD,no,no,False
2620,TN,115,no,no,0,206.2,113,35.05,176.4,102,14.99,297.1,119,13.37,11.0,7,2.97,1,22.22139117427076,5.883024251069901,3.7037037037037033,11.767845230153435,690.6999999999999,TN,no,no,False
1468,OH,75,no,yes,27,117.5,102,19.98,206.8,127,17.58,194.4,114,8.75,4.2,7,1.13,3,22.217142857142857,5.880880880880881,3.716814159292036,11.763367463026167,522.9,OH,no,yes,False
1732,HI,97,no,yes,43,121.1,105,20.59,260.2,115,22.12,222.4,100,10.01,8.3,5,2.24,3,22.21778221778222,5.881495871782419,3.705357142857143,11.763110307414104,612.0,HI,no,yes,False
1810,KY,124,no,no,0,194.0,103,32.98,241.0,116,20.49,227.5,153,10.24,11.9,5,3.21,0,22.216796875,5.882352941176471,3.707165109034268,11.761835041483652,674.4,KY,no,no,False
437,OH,100,no,no,0,278.0,76,47.26,176.7,74,15.02,219.5,126,9.88,8.3,4,2.24,0,22.2165991902834,5.882352941176471,3.705357142857143,11.764314247669773,682.5,OH,no,no,True
2724,NJ,182,no,no,0,279.1,124,47.45,180.5,108,15.34,217.5,104,9.79,9.5,11,2.57,2,22.216547497446374,5.881981032665965,3.6964980544747084,11.766623207301173,686.6,NJ,no,no,True
749,NM,87,yes,no,0,167.3,119,28.44,198.5,119,16.87,133.1,88,5.99,11.0,6,2.97,1,22.220367278797994,5.882559774964839,3.7037037037037033,11.766449318316537,509.9,NM,yes,no,False
227,IA,126,no,yes,27,186.2,78,31.65,189.6,83,16.12,76.5,139,3.44,9.6,3,2.59,2,22.238372093023255,5.883096366508688,3.7065637065637067,11.761786600496277,461.9,IA,no,yes,False
1167,KS,130,no,no,0,154.0,95,26.18,205.9,106,17.5,233.7,75,10.52,12.9,1,3.48,1,22.214828897338403,5.882352941176471,3.706896551724138,11.765714285714287,606.5,KS,no,no,False
3147,NM,62,no,no,0,245.3,91,41.7,122.9,130,10.45,228.4,102,10.28,8.5,4,2.3,4,22.217898832684828,5.882494004796163,3.695652173913044,11.760765550239237,605.1,NM,no,no,False
975,DE,129,no,no,0,334.3,118,56.83,192.1,104,16.33,191.0,83,8.59,10.4,6,2.81,0,22.235157159487777,5.882456449058596,3.701067615658363,11.763625229638702,727.8,DE,no,no,True
2555,NC,190,no,no,0,182.2,101,30.97,212.3,95,18.05,233.0,123,10.49,9.3,4,2.51,2,22.21163012392755,5.8831126896997095,3.7051792828685266,11.761772853185596,636.8,NC,no,no,False
1879,TX,92,no,no,0,139.8,98,23.77,174.9,143,14.87,201.6,135,9.07,9.4,7,2.54,2,22.227122381477397,5.8813630626840565,3.7007874015748032,11.76193678547411,525.6999999999999,TX,no,no,False
2744,CA,33,no,no,0,159.5,115,27.12,195.4,118,16.61,102.4,86,4.61,7.1,7,1.92,1,22.212581344902386,5.8812684365781704,3.6979166666666665,11.763997591812162,464.4,CA,no,no,False
1132,WV,83,no,yes,37,78.5,109,13.35,210.5,101,17.89,179.7,102,8.09,11.8,4,3.19,1,22.212608158220025,5.880149812734083,3.699059561128527,11.766349916154276,480.5,WV,no,yes,False
2337,MD,139,no,no,0,181.6,119,30.87,335.7,118,28.53,149.8,64,6.74,8.3,6,2.24,4,22.22551928783383,5.882734045999352,3.705357142857143,11.766561514195583,675.4,MD,no,no,False
1430,WV,48,no,yes,34,198.0,70,33.66,273.7,121,23.26,217.9,71,9.81,7.6,4,2.05,1,22.21202854230377,5.882352941176471,3.707317073170732,11.766981943250213,697.2,WV,no,yes,False
1714,NE,99,no,no,0,200.0,66,34.0,107.9,104,9.17,233.7,82,10.52,11.4,2,3.08,3,22.214828897338403,5.882352941176471,3.7012987012987013,11.766630316248637,553.0,NE,no,no,False
1963,RI,131,no,no,0,112.8,133,19.18,199.4,116,16.95,142.7,105,6.42,10.1,5,2.73,0,22.227414330218068,5.881126173096976,3.6996336996336994,11.76401179941003,465.0,RI,no,no,False
2797,NC,169,no,no,0,142.5,82,24.23,231.4,110,19.67,131.2,67,5.9,10.0,4,2.7,2,22.237288135593218,5.881139083780437,3.7037037037037033,11.764107778342654,515.1,NC,no,no,False
1566,WV,80,no,yes,38,236.6,69,40.22,197.5,68,16.79,209.5,102,9.43,9.5,10,2.57,2,22.216330858960763,5.882645450024864,3.6964980544747084,11.762954139368672,653.1,WV,no,yes,False
1903,NJ,93,yes,yes,38,225.7,117,38.37,119.6,122,10.17,193.2,125,8.69,14.0,7,3.78,1,22.232451093210585,5.882199635131613,3.7037037037037037,11.76007866273353,552.5,NJ,yes,yes,True
2171,NV,41,no,no,0,182.1,89,30.96,211.5,104,17.98,207.4,124,9.33,6.8,1,1.84,1,22.229367631296892,5.8817829457364335,3.695652173913043,11.763070077864294,607.8,NV,no,no,False
2954,TX,57,no,no,0,161.0,113,27.37,208.0,134,17.68,208.1,81,9.36,8.4,4,2.27,3,22.232905982905983,5.88235294117647,3.7004405286343616,11.764705882352942,585.5,TX,no,no,False
1964,MS,158,no,no,0,175.9,105,29.9,188.3,88,16.01,188.3,98,8.47,11.0,6,2.97,1,22.231404958677686,5.882943143812709,3.7037037037037033,11.761399125546532,563.5,MS,no,no,False
466,FL,132,no,yes,36,226.2,103,38.45,181.6,125,15.44,258.8,102,11.65,10.5,5,2.84,3,22.21459227467811,5.882964889466839,3.6971830985915495,11.761658031088082,677.1,FL,no,yes,True
1044,NY,94,yes,no,0,243.2,109,41.34,147.0,88,12.5,94.9,99,4.27,7.2,4,1.94,4,22.2248243559719,5.882922109337203,3.711340206185567,11.76,492.3,NY,yes,no,False
1239,TX,64,no,no,0,168.0,116,28.56,192.4,94,16.35,166.5,98,7.49,10.1,3,2.73,2,22.229639519359147,5.882352941176471,3.6996336996336994,11.767584097859327,537.0,TX,no,no,False
3168,TX,201,no,no,0,225.9,110,38.4,299.1,86,25.42,251.3,81,11.31,11.2,4,3.02,1,22.21927497789567,5.8828125,3.7086092715231787,11.766325727773406,787.5,TX,no,no,True
1577,UT,100,no,no,0,179.1,123,30.45,196.6,132,16.71,186.7,116,8.4,10.2,10,2.75,1,22.226190476190474,5.8817733990147785,3.709090909090909,11.765409934171155,572.5999999999999,UT,no,no,False
3282,DC,99,no,yes,31,244.1,71,41.5,203.4,58,17.29,234.0,115,10.53,7.7,4,2.08,3,22.222222222222225,5.881927710843374,3.701923076923077,11.764025448235975,689.2,DC,no,yes,False
2529,WI,127,no,no,0,218.6,93,37.16,149.9,130,12.74,204.6,131,9.21,9.2,5,2.48,2,22.214983713355046,5.882669537136707,3.7096774193548385,11.766091051805338,582.3,WI,no,no,False
2355,ND,118,no,no,0,224.6,94,38.18,225.9,120,19.2,269.0,105,12.11,12.5,8,3.38,2,22.213047068538398,5.882661079099004,3.698224852071006,11.765625,732.0,ND,no,no,False
1897,OH,86,no,yes,29,225.4,79,38.32,187.1,112,15.9,281.1,112,12.65,12.9,3,3.48,1,22.22134387351779,5.88204592901879,3.706896551724138,11.767295597484276,706.5,OH,no,yes,False
213,AZ,86,no,yes,31,167.6,139,28.49,113.0,118,9.61,246.9,121,11.11,12.2,6,3.29,1,22.223222322232225,5.882765882765883,3.708206686930091,11.758584807492197,539.7,AZ,no,yes,False
12,IA,168,no,no,0,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1,22.22047244094488,5.881278538812786,3.7086092715231787,11.760089686098656,386.0,IA,no,no,False
3224,IN,115,no,no,0,226.4,101,38.49,276.8,60,23.53,213.4,82,9.6,12.3,4,3.32,3,22.229166666666668,5.882047285009093,3.704819277108434,11.763705907352316,728.9000000000001,IN,no,no,True
906,VT,73,no,no,0,213.0,95,36.21,188.8,104,16.05,136.2,89,6.13,13.5,3,3.65,0,22.218597063621534,5.88235294117647,3.6986301369863015,11.763239875389408,551.5,VT,no,no,False
424,DC,112,no,yes,16,221.6,110,37.67,130.2,123,11.07,200.0,108,9.0,11.3,3,3.05,1,22.22222222222222,5.882665250862755,3.704918032786886,11.76151761517615,563.1,DC,no,yes,False
893,MO,167,yes,no,0,244.8,91,41.62,60.8,105,5.17,176.7,110,7.95,10.7,3,2.89,2,22.22641509433962,5.881787602114369,3.702422145328719,11.760154738878143,493.0,MO,yes,no,False
1753,VT,63,no,no,0,142.5,92,24.23,208.3,102,17.71,228.9,120,10.3,7.5,2,2.03,2,22.223300970873787,5.881139083780437,3.6945812807881775,11.76171654432524,587.2,VT,no,no,False
2183,AR,138,no,no,0,146.5,101,24.91,284.5,142,24.18,176.0,98,7.92,14.0,6,3.78,3,22.22222222222222,5.881172219991971,3.7037037037037037,11.765922249793217,621.0,AR,no,no,False
1159,KS,128,no,no,0,103.3,122,17.56,245.9,123,20.9,161.1,95,7.25,6.4,7,1.73,0,22.220689655172414,5.882687927107062,3.6994219653179194,11.76555023923445,516.6999999999999,KS,no,no,False
1250,NV,81,no,no,0,145.4,132,24.72,129.3,91,10.99,186.4,109,8.39,5.2,4,1.4,1,22.216924910607865,5.881877022653722,3.714285714285715,11.765241128298454,466.3,NV,no,no,False
1613,AL,95,no,no,0,194.6,114,33.08,232.8,106,19.79,173.4,92,7.8,3.8,2,1.03,3,22.230769230769234,5.882708585247884,3.6893203883495143,11.763516927741284,604.6,AL,no,no,False
746,MI,120,no,no,0,150.6,85,25.6,119.0,128,10.12,232.9,123,10.48,6.4,2,1.73,1,22.22328244274809,5.882812499999999,3.6994219653179194,11.758893280632412,508.9,MI,no,no,False
2931,KS,68,no,no,0,207.6,68,35.29,251.6,123,21.39,191.6,100,8.62,10.9,6,2.94,2,22.227378190255223,5.88268631340323,3.7074829931972793,11.762505843852267,661.6999999999999,KS,no,no,False
2593,VT,93,no,no,0,149.6,120,25.43,200.7,85,17.06,181.2,107,8.15,14.3,9,3.86,0,22.233128834355824,5.882815572158868,3.7046632124352334,11.764361078546308,545.8,VT,no,no,False
1906,DC,91,no,yes,39,169.8,105,28.87,65.2,116,5.54,144.4,92,6.5,10.9,4,2.94,1,22.215384615384615,5.8815379286456535,3.7074829931972793,11.768953068592058,390.3,DC,no,yes,False
