,state,account length,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,average_night_rate_by_min,average_day_rate_by_min,average_intl_rate_by_min,average_eve_rate_by_min,total_minutes,churn
228,VA,104,no,yes,23,280.2,136,47.63,220.5,92,18.74,136.9,102,6.16,13.3,3,3.59,4,0.0449963476990504,0.1699857244825125,0.2699248120300752,0.08498866213151927,650.9000000000001,False
367,MD,45,no,no,0,78.2,127,13.29,253.4,108,21.54,255.0,100,11.48,18.0,3,4.86,1,0.04501960784313726,0.16994884910485933,0.27,0.08500394632991318,604.6,False
872,OK,149,no,yes,43,206.7,79,35.14,174.6,122,14.84,241.5,80,10.87,10.9,3,2.94,1,0.0450103519668737,0.17000483792936624,0.2697247706422018,0.0849942726231386,633.6999999999999,False
1266,IA,42,no,no,0,155.4,127,26.42,164.1,45,13.95,157.7,128,7.1,9.0,3,2.43,0,0.04502219403931516,0.17001287001287002,0.27,0.0850091407678245,486.20000000000005,False
277,SD,144,no,yes,48,189.8,96,32.27,123.4,67,10.49,214.2,106,9.64,6.5,2,1.76,2,0.045004668534080305,0.17002107481559536,0.27076923076923076,0.08500810372771475,533.9,True
2214,CT,90,no,no,0,175.9,111,29.9,285.2,115,24.24,150.8,122,6.79,13.0,7,3.51,1,0.04502652519893899,0.16998294485503126,0.26999999999999996,0.0849929873772791,624.9000000000001,False
943,OR,132,no,no,0,191.9,107,32.62,206.9,127,17.59,272.0,88,12.24,12.6,2,3.4,1,0.045,0.16998436685773838,0.2698412698412698,0.08501691638472691,683.4,False
885,ME,66,no,yes,26,254.9,108,43.33,243.2,135,20.67,190.8,95,8.59,5.4,3,1.46,2,0.045020964360587,0.1699882306786975,0.27037037037037037,0.08499177631578948,694.3,False
1303,VA,10,no,no,0,222.2,127,37.77,153.1,125,13.01,227.4,80,10.23,12.9,4,3.48,1,0.044986807387862794,0.16998199819982002,0.2697674418604651,0.08497713912475506,615.6,False
951,VT,101,no,no,0,153.8,89,26.15,234.0,89,19.89,196.3,77,8.83,11.6,2,3.13,4,0.04498217014773306,0.17002600780234067,0.26982758620689656,0.085,595.7,False
409,TX,145,no,no,0,187.9,110,31.94,197.0,117,16.75,167.0,108,7.52,4.8,4,1.3,2,0.04502994011976048,0.16998403406067056,0.27083333333333337,0.0850253807106599,556.7,False
2551,MD,102,no,no,0,129.5,56,22.02,354.2,118,30.11,145.5,93,6.55,10.9,3,2.94,1,0.04501718213058419,0.17003861003861004,0.2697247706422018,0.08500846979107848,640.0999999999999,False
1142,UT,105,no,no,0,106.4,71,18.09,240.1,83,20.41,147.7,114,6.65,5.3,4,1.43,6,0.04502369668246446,0.17001879699248118,0.269811320754717,0.08500624739691795,499.5,True
2594,OH,115,yes,no,0,345.3,81,58.7,203.4,106,17.29,217.5,107,9.79,11.8,8,3.19,1,0.04501149425287356,0.16999710396756443,0.2703389830508474,0.08500491642084562,777.9999999999999,True
2222,AK,97,no,yes,24,176.1,109,29.94,159.4,81,13.55,269.1,94,12.11,12.1,9,3.27,0,0.0450018580453363,0.17001703577512778,0.2702479338842975,0.08500627352572146,616.7,False
1844,SC,77,no,yes,28,135.9,117,23.1,244.5,102,20.78,207.5,74,9.34,11.5,3,3.11,4,0.04501204819277108,0.16997792494481237,0.27043478260869563,0.08498977505112475,599.4,True
2670,WY,116,no,yes,12,221.0,108,37.57,151.0,118,12.84,179.0,80,8.06,9.0,6,2.43,2,0.04502793296089386,0.17,0.27,0.08503311258278146,560.0,False
